"Year and week of notification"	"Age stratification: 5 year intervals"
"2007-w21"	"162"	"28"	"11"	"15"	"9"	"16"	"17"	"16"	"20"	"23"	"18"	"24"	"26"	"53"	"47"	"72"	"88"	"1"
"2007-w22"	"105"	"24"	"9"	"9"	"16"	"14"	"9"	"5"	"14"	"12"	"13"	"14"	"20"	"29"	"29"	"27"	"51"	""
"2007-w23"	"102"	"12"	"12"	"13"	"10"	"9"	"11"	"10"	"20"	"12"	"6"	"13"	"19"	"22"	"24"	"26"	"40"	"1"
"2007-w24"	"74"	"8"	"10"	"13"	"8"	"13"	"11"	"9"	"9"	"10"	"9"	"14"	"10"	"25"	"19"	"26"	"29"	""
"2007-w25"	"68"	"16"	"11"	"6"	"6"	"8"	"10"	"13"	"14"	"19"	"10"	"9"	"9"	"16"	"12"	"17"	"22"	"1"
"2007-w26"	"75"	"9"	"4"	"7"	"14"	"8"	"8"	"5"	"9"	"5"	"9"	"11"	"5"	"12"	"22"	"11"	"17"	""
"2007-w27"	"63"	"16"	"4"	"6"	"4"	"11"	"4"	"9"	"10"	"6"	"9"	"8"	"14"	"15"	"14"	"10"	"11"	""
"2007-w28"	"83"	"17"	"6"	"5"	"7"	"10"	"4"	"9"	"14"	"5"	"5"	"13"	"6"	"13"	"10"	"14"	"12"	""
"2007-w29"	"57"	"9"	"5"	"12"	"2"	"7"	"3"	"3"	"13"	"8"	"4"	"7"	"7"	"13"	"6"	"11"	"9"	""
"2007-w30"	"76"	"15"	"8"	"8"	"6"	"4"	"10"	"2"	"6"	"4"	"9"	"6"	"3"	"13"	"20"	"16"	"12"	""
"2007-w31"	"54"	"8"	"7"	"1"	"6"	"7"	"6"	""	"3"	"8"	"6"	"9"	"5"	"9"	"14"	"12"	"12"	""
"2007-w32"	"58"	"11"	"6"	"6"	"8"	"4"	"1"	"2"	"9"	"11"	"3"	"7"	"9"	"9"	"10"	"12"	"12"	""
"2007-w33"	"52"	"9"	"5"	"7"	"5"	"9"	"7"	"8"	"7"	"8"	"3"	"9"	"6"	"6"	"8"	"14"	"8"	""
"2007-w34"	"52"	"12"	"11"	"7"	"8"	"3"	"18"	"6"	"3"	"4"	"4"	"4"	"12"	"12"	"7"	"10"	"12"	""
"2007-w35"	"52"	"9"	"9"	"5"	"7"	"7"	"10"	"8"	"13"	"9"	"7"	"10"	"6"	"9"	"17"	"9"	"18"	""
"2007-w36"	"74"	"10"	"4"	"6"	"5"	"2"	"7"	"6"	"5"	"3"	"7"	"8"	"3"	"7"	"7"	"11"	"13"	""
"2007-w37"	"99"	"21"	"2"	"3"	"6"	"9"	"5"	"6"	"5"	"9"	"4"	"13"	"11"	"10"	"16"	"12"	"16"	""
"2007-w38"	"105"	"22"	"8"	"14"	"4"	"6"	"7"	"10"	"7"	"9"	"8"	"10"	"12"	"20"	"13"	"12"	"18"	""
"2007-w39"	"105"	"17"	"11"	"5"	"6"	"11"	"6"	"8"	"9"	"8"	"8"	"6"	"7"	"20"	"14"	"8"	"29"	""
"2007-w40"	"104"	"14"	"5"	"11"	"6"	"9"	"9"	"7"	"15"	"8"	"7"	"5"	"8"	"10"	"10"	"18"	"26"	""
"2007-w41"	"145"	"22"	"10"	"7"	"13"	"9"	"10"	"9"	"9"	"14"	"17"	"17"	"9"	"20"	"17"	"21"	"37"	""
"2007-w42"	"162"	"12"	"10"	"6"	"8"	"14"	"11"	"10"	"15"	"15"	"16"	"18"	"17"	"24"	"21"	"24"	"38"	"1"
"2007-w43"	"219"	"22"	"19"	"15"	"8"	"11"	"12"	"12"	"13"	"9"	"11"	"21"	"10"	"47"	"32"	"24"	"40"	""
"2007-w44"	"237"	"23"	"8"	"12"	"16"	"11"	"6"	"14"	"20"	"28"	"23"	"33"	"31"	"47"	"56"	"53"	"78"	""
"2007-w45"	"420"	"41"	"27"	"17"	"23"	"24"	"21"	"24"	"33"	"21"	"36"	"38"	"31"	"58"	"79"	"73"	"117"	""
"2007-w46"	"462"	"61"	"25"	"34"	"22"	"34"	"32"	"41"	"28"	"35"	"48"	"46"	"47"	"68"	"83"	"71"	"117"	""
"2007-w47"	"490"	"57"	"23"	"22"	"35"	"29"	"28"	"42"	"47"	"37"	"56"	"48"	"53"	"98"	"111"	"124"	"189"	""
"2007-w48"	"672"	"54"	"24"	"27"	"45"	"52"	"27"	"54"	"68"	"46"	"60"	"92"	"60"	"125"	"132"	"141"	"255"	""
"2007-w49"	"656"	"80"	"54"	"35"	"48"	"39"	"59"	"63"	"75"	"62"	"75"	"89"	"82"	"144"	"141"	"179"	"280"	"1"
"2007-w50"	"786"	"99"	"40"	"50"	"49"	"70"	"57"	"63"	"74"	"65"	"69"	"94"	"100"	"156"	"171"	"171"	"282"	""
"2007-w51"	"785"	"117"	"48"	"56"	"58"	"60"	"75"	"69"	"75"	"64"	"83"	"88"	"99"	"156"	"178"	"178"	"317"	""
"2007-w52"	"387"	"44"	"17"	"20"	"27"	"27"	"21"	"32"	"42"	"53"	"43"	"53"	"54"	"110"	"117"	"126"	"217"	"1"
"2008-w01"	"483"	"33"	"18"	"27"	"41"	"41"	"31"	"50"	"51"	"58"	"76"	"98"	"123"	"182"	"204"	"235"	"424"	"1"
"2008-w02"	"642"	"65"	"31"	"62"	"74"	"76"	"69"	"91"	"118"	"134"	"143"	"161"	"158"	"264"	"322"	"339"	"581"	""
"2008-w03"	"740"	"88"	"46"	"59"	"103"	"60"	"70"	"96"	"130"	"146"	"139"	"178"	"142"	"257"	"311"	"371"	"588"	""
"2008-w04"	"691"	"79"	"47"	"68"	"84"	"66"	"87"	"92"	"124"	"108"	"151"	"160"	"158"	"274"	"273"	"314"	"529"	"2"
"2008-w05"	"594"	"84"	"39"	"37"	"60"	"71"	"53"	"75"	"91"	"91"	"113"	"95"	"107"	"188"	"240"	"202"	"362"	""
"2008-w06"	"475"	"71"	"26"	"35"	"56"	"51"	"50"	"58"	"71"	"81"	"92"	"122"	"105"	"151"	"217"	"211"	"339"	"1"
"2008-w07"	"495"	"48"	"20"	"31"	"54"	"50"	"42"	"58"	"76"	"82"	"90"	"102"	"96"	"157"	"217"	"221"	"362"	""
"2008-w08"	"489"	"63"	"32"	"30"	"47"	"57"	"57"	"51"	"67"	"74"	"81"	"91"	"87"	"158"	"187"	"198"	"311"	""
"2008-w09"	"420"	"51"	"16"	"39"	"38"	"34"	"41"	"62"	"59"	"83"	"84"	"97"	"85"	"164"	"180"	"188"	"343"	""
"2008-w10"	"421"	"60"	"23"	"19"	"38"	"38"	"32"	"51"	"54"	"59"	"74"	"85"	"71"	"133"	"144"	"145"	"259"	""
"2008-w11"	"376"	"40"	"13"	"27"	"34"	"36"	"34"	"34"	"46"	"31"	"53"	"74"	"67"	"99"	"124"	"130"	"218"	""
"2008-w12"	"275"	"27"	"21"	"22"	"27"	"22"	"27"	"34"	"33"	"40"	"34"	"55"	"55"	"86"	"79"	"95"	"165"	"1"
"2008-w13"	"231"	"15"	"13"	"19"	"21"	"16"	"19"	"17"	"32"	"25"	"21"	"38"	"39"	"76"	"91"	"89"	"160"	""
"2008-w14"	"227"	"14"	"11"	"21"	"34"	"22"	"12"	"30"	"34"	"36"	"45"	"57"	"63"	"73"	"91"	"125"	"193"	""
"2008-w15"	"274"	"30"	"14"	"18"	"28"	"22"	"16"	"23"	"29"	"47"	"52"	"40"	"47"	"73"	"99"	"85"	"160"	""
"2008-w16"	"254"	"41"	"13"	"24"	"24"	"24"	"17"	"24"	"31"	"37"	"47"	"49"	"39"	"71"	"80"	"86"	"154"	"1"
"2008-w17"	"216"	"25"	"18"	"16"	"36"	"20"	"18"	"27"	"30"	"34"	"34"	"39"	"43"	"77"	"76"	"107"	"170"	"1"
"2008-w18"	"171"	"17"	"13"	"8"	"12"	"17"	"17"	"22"	"21"	"15"	"9"	"28"	"26"	"49"	"49"	"60"	"83"	""
"2008-w19"	"173"	"24"	"15"	"16"	"16"	"17"	"10"	"23"	"22"	"22"	"21"	"28"	"26"	"54"	"53"	"56"	"73"	""
"2008-w20"	"133"	"12"	"7"	"8"	"21"	"13"	"13"	"14"	"18"	"20"	"22"	"16"	"17"	"38"	"36"	"46"	"73"	"1"
"2008-w21"	"102"	"21"	"6"	"16"	"27"	"10"	"16"	"10"	"23"	"12"	"27"	"14"	"8"	"25"	"34"	"31"	"51"	"16"
"2008-w22"	"132"	"16"	"12"	"14"	"18"	"12"	"8"	"7"	"18"	"15"	"10"	"12"	"17"	"24"	"44"	"28"	"58"	""
"2008-w23"	"84"	"26"	"11"	"16"	"9"	"12"	"12"	"9"	"14"	"11"	"9"	"9"	"4"	"21"	"22"	"21"	"34"	""
"2008-w24"	"95"	"8"	"7"	"5"	"5"	"12"	"5"	"14"	"7"	"12"	"15"	"13"	"10"	"16"	"17"	"12"	"17"	""
"2008-w25"	"108"	"8"	"13"	"8"	"11"	"8"	"9"	"10"	"10"	"7"	"16"	"14"	"10"	"13"	"11"	"11"	"26"	"1"
"2008-w26"	"96"	"23"	"10"	"8"	"12"	"6"	"6"	"13"	"11"	"8"	"10"	"9"	"9"	"12"	"10"	"13"	"18"	""
"2008-w27"	"64"	"14"	"6"	"6"	"7"	"8"	"4"	"9"	"8"	"5"	"7"	"9"	"8"	"9"	"17"	"9"	"12"	""
"2008-w28"	"79"	"17"	"5"	"7"	"14"	"5"	"5"	"8"	"4"	"5"	"9"	"7"	"6"	"12"	"8"	"9"	"14"	""
"2008-w29"	"70"	"14"	"2"	"5"	"9"	"7"	"5"	"13"	"9"	"12"	"6"	"17"	"4"	"8"	"10"	"9"	"19"	""
"2008-w30"	"51"	"8"	"7"	"7"	"9"	"8"	"8"	"8"	"4"	"14"	"10"	"8"	"4"	"11"	"9"	"7"	"12"	""
"2008-w31"	"49"	"11"	"6"	"10"	"7"	"5"	"6"	"4"	"8"	"7"	"4"	"8"	"10"	"11"	"11"	"6"	"16"	""
"2008-w32"	"64"	"10"	"18"	"12"	"9"	"4"	"8"	"8"	"8"	"4"	"2"	"10"	"9"	"9"	"13"	"11"	"8"	""
"2008-w33"	"70"	"13"	"9"	"8"	"9"	"11"	"6"	"6"	"9"	"5"	"3"	"5"	"7"	"10"	"7"	"9"	"15"	""
"2008-w34"	"73"	"13"	"6"	"9"	"4"	"9"	"4"	"8"	"8"	"2"	"10"	"7"	"9"	"12"	"16"	"9"	"12"	""
"2008-w35"	"81"	"12"	"10"	"10"	"7"	"7"	"8"	"3"	"4"	"6"	"7"	"8"	"7"	"3"	"9"	"5"	"15"	""
"2008-w36"	"88"	"10"	"5"	"5"	"9"	"6"	"7"	"6"	"10"	"7"	"8"	"5"	"9"	"10"	"13"	"12"	"18"	""
"2008-w37"	"103"	"14"	"2"	"8"	"10"	"8"	"6"	"11"	"15"	"3"	"11"	"11"	"7"	"7"	"8"	"7"	"15"	""
"2008-w38"	"110"	"13"	"6"	"8"	"14"	"8"	"6"	"4"	"9"	"4"	"10"	"5"	"6"	"11"	"11"	"11"	"12"	""
"2008-w39"	"121"	"23"	"8"	"5"	"13"	"10"	"10"	"5"	"11"	"12"	"9"	"11"	"6"	"14"	"16"	"14"	"19"	""
"2008-w40"	"127"	"12"	"6"	"9"	"6"	"4"	"6"	"10"	"4"	"7"	"12"	"7"	"6"	"15"	"14"	"16"	"14"	""
"2008-w41"	"148"	"19"	"14"	"9"	"14"	"9"	"10"	"17"	"17"	"12"	"12"	"10"	"11"	"21"	"24"	"21"	"24"	""
"2008-w42"	"183"	"20"	"20"	"4"	"11"	"16"	"8"	"11"	"10"	"7"	"10"	"12"	"13"	"22"	"30"	"13"	"25"	""
"2008-w43"	"216"	"33"	"5"	"14"	"13"	"11"	"13"	"7"	"11"	"16"	"15"	"17"	"13"	"24"	"24"	"25"	"32"	""
"2008-w44"	"220"	"24"	"16"	"10"	"14"	"15"	"19"	"10"	"15"	"22"	"17"	"16"	"16"	"20"	"14"	"22"	"29"	""
"2008-w45"	"280"	"44"	"19"	"13"	"17"	"24"	"20"	"16"	"15"	"20"	"16"	"20"	"12"	"25"	"31"	"27"	"45"	""
"2008-w46"	"351"	"38"	"21"	"22"	"25"	"17"	"15"	"15"	"15"	"27"	"20"	"24"	"23"	"34"	"43"	"35"	"50"	""
"2008-w47"	"391"	"38"	"13"	"23"	"22"	"21"	"21"	"24"	"34"	"30"	"30"	"29"	"29"	"38"	"46"	"54"	"80"	""
"2008-w48"	"440"	"63"	"19"	"20"	"36"	"30"	"15"	"28"	"34"	"32"	"30"	"44"	"32"	"57"	"48"	"56"	"93"	""
"2008-w49"	"554"	"61"	"29"	"33"	"43"	"53"	"40"	"44"	"42"	"50"	"38"	"59"	"60"	"84"	"95"	"92"	"195"	""
"2008-w50"	"631"	"77"	"44"	"27"	"36"	"46"	"47"	"39"	"66"	"55"	"64"	"77"	"54"	"102"	"111"	"106"	"210"	""
"2008-w51"	"686"	"80"	"36"	"34"	"61"	"57"	"45"	"61"	"69"	"69"	"66"	"95"	"80"	"123"	"140"	"162"	"262"	"1"
"2008-w52"	"323"	"32"	"15"	"17"	"31"	"31"	"31"	"46"	"45"	"30"	"50"	"44"	"33"	"93"	"101"	"97"	"186"	""
"2009-w01"	"313"	"28"	"22"	"26"	"28"	"27"	"26"	"23"	"27"	"33"	"41"	"49"	"52"	"89"	"110"	"117"	"221"	""
"2009-w02"	"393"	"36"	"22"	"40"	"41"	"45"	"46"	"48"	"48"	"93"	"79"	"104"	"120"	"160"	"220"	"202"	"418"	"1"
"2009-w03"	"477"	"42"	"27"	"42"	"55"	"46"	"54"	"60"	"63"	"95"	"106"	"119"	"105"	"167"	"283"	"251"	"404"	"1"
"2009-w04"	"564"	"40"	"37"	"41"	"72"	"55"	"63"	"64"	"79"	"97"	"102"	"127"	"123"	"216"	"284"	"251"	"473"	""
"2009-w05"	"566"	"67"	"27"	"39"	"47"	"52"	"61"	"61"	"78"	"87"	"108"	"121"	"123"	"183"	"268"	"267"	"482"	""
"2009-w06"	"544"	"48"	"39"	"31"	"66"	"57"	"60"	"78"	"84"	"92"	"122"	"158"	"140"	"230"	"284"	"273"	"528"	""
"2009-w07"	"536"	"56"	"26"	"51"	"81"	"52"	"49"	"52"	"89"	"106"	"93"	"130"	"122"	"183"	"267"	"257"	"437"	""
"2009-w08"	"528"	"49"	"40"	"34"	"61"	"53"	"49"	"72"	"102"	"85"	"102"	"122"	"124"	"164"	"216"	"228"	"429"	"1"
"2009-w09"	"483"	"49"	"28"	"40"	"58"	"52"	"43"	"54"	"62"	"88"	"91"	"116"	"109"	"172"	"228"	"209"	"368"	""
"2009-w10"	"494"	"64"	"22"	"34"	"54"	"66"	"50"	"63"	"72"	"79"	"100"	"111"	"96"	"164"	"188"	"186"	"339"	"1"
"2009-w11"	"463"	"65"	"28"	"23"	"54"	"56"	"44"	"60"	"57"	"81"	"67"	"94"	"90"	"128"	"160"	"161"	"270"	""
"2009-w12"	"417"	"48"	"27"	"26"	"40"	"45"	"41"	"43"	"55"	"49"	"76"	"83"	"55"	"109"	"139"	"145"	"237"	""
"2009-w13"	"346"	"31"	"20"	"34"	"33"	"32"	"32"	"39"	"46"	"57"	"60"	"69"	"71"	"92"	"135"	"118"	"236"	""
"2009-w14"	"314"	"31"	"17"	"19"	"35"	"47"	"31"	"33"	"40"	"46"	"54"	"65"	"58"	"80"	"125"	"132"	"202"	""
"2009-w15"	"227"	"37"	"10"	"13"	"31"	"18"	"21"	"21"	"30"	"29"	"33"	"39"	"42"	"57"	"83"	"82"	"155"	""
"2009-w16"	"161"	"16"	"11"	"17"	"20"	"20"	"14"	"22"	"21"	"31"	"16"	"38"	"40"	"60"	"53"	"76"	"111"	""
"2009-w17"	"146"	"26"	"18"	"15"	"25"	"24"	"23"	"17"	"29"	"30"	"32"	"33"	"27"	"38"	"51"	"49"	"83"	""
"2009-w18"	"114"	"15"	"12"	"15"	"11"	"8"	"15"	"18"	"23"	"23"	"18"	"21"	"25"	"27"	"49"	"34"	"74"	""
"2009-w19"	"137"	"27"	"9"	"19"	"17"	"26"	"15"	"20"	"22"	"20"	"23"	"30"	"19"	"43"	"63"	"49"	"93"	"1"
"2009-w20"	"131"	"26"	"8"	"6"	"17"	"17"	"11"	"13"	"26"	"16"	"34"	"25"	"24"	"25"	"38"	"34"	"45"	""
"2009-w21"	"98"	"23"	"14"	"8"	"4"	"10"	"10"	"6"	"9"	"13"	"19"	"12"	"16"	"23"	"25"	"26"	"34"	""
"2009-w22"	"85"	"20"	"9"	"7"	"8"	"14"	"12"	"11"	"19"	"19"	"17"	"10"	"9"	"24"	"14"	"33"	"26"	""
"2009-w23"	"50"	"10"	"9"	"11"	"13"	"7"	"8"	"14"	"8"	"8"	"5"	"9"	"8"	"11"	"14"	"9"	"17"	""
"2009-w24"	"74"	"12"	"5"	"2"	"10"	"8"	"7"	"7"	"8"	"7"	"13"	"7"	"6"	"13"	"19"	"13"	"20"	""
"2009-w25"	"69"	"17"	"14"	"6"	"15"	"7"	"7"	"6"	"10"	"16"	"4"	"7"	"9"	"18"	"15"	"14"	"19"	""
"2009-w26"	"65"	"19"	"5"	"3"	"13"	"11"	"9"	"10"	"12"	"14"	"2"	"10"	"7"	"12"	"13"	"6"	"20"	""
"2009-w27"	"53"	"19"	"7"	"6"	"10"	"5"	"4"	"11"	"6"	"10"	"6"	"5"	"11"	"8"	"10"	"13"	"19"	""
"2009-w28"	"56"	"14"	"9"	"9"	"8"	"8"	"6"	"7"	"13"	"8"	"6"	"6"	"4"	"6"	"8"	"5"	"10"	""
"2009-w29"	"40"	"14"	"10"	"3"	"6"	"9"	"8"	"3"	"8"	"13"	"8"	"10"	"4"	"8"	"13"	"12"	"8"	""
"2009-w30"	"37"	"6"	"1"	"2"	"4"	"5"	"10"	"5"	"7"	"5"	"6"	"2"	"3"	"7"	"14"	"7"	"9"	""
"2009-w31"	"57"	"12"	"4"	"8"	"11"	"5"	"2"	"4"	"5"	"9"	"3"	"9"	"7"	"5"	"9"	"4"	"13"	""
"2009-w32"	"46"	"10"	"7"	"7"	"7"	"1"	"5"	"8"	"10"	"10"	"5"	"3"	"3"	"2"	"9"	"6"	"11"	""
"2009-w33"	"48"	"7"	"5"	"13"	"7"	"15"	"8"	"9"	"10"	"5"	"4"	"5"	"6"	"7"	"10"	"7"	"12"	""
"2009-w34"	"53"	"13"	"12"	"8"	"12"	"13"	"5"	"10"	"10"	"7"	"3"	"11"	"6"	"10"	"10"	"13"	"17"	""
"2009-w35"	"61"	"14"	"13"	"11"	"10"	"5"	"3"	"12"	"10"	"7"	"8"	"10"	"6"	"8"	"8"	"3"	"14"	""
"2009-w36"	"75"	"17"	"10"	"8"	"5"	"9"	"6"	"16"	"8"	"9"	"11"	"17"	"6"	"14"	"12"	"6"	"11"	""
"2009-w37"	"84"	"17"	"8"	"4"	"12"	"6"	"12"	"8"	"13"	"16"	"9"	"7"	"3"	"10"	"5"	"9"	"11"	"1"
"2009-w38"	"99"	"20"	"11"	"6"	"16"	"9"	"12"	"15"	"17"	"6"	"15"	"12"	"12"	"19"	"9"	"8"	"16"	""
"2009-w39"	"95"	"17"	"10"	"9"	"9"	"7"	"15"	"10"	"9"	"7"	"4"	"13"	"10"	"10"	"7"	"9"	"9"	""
"2009-w40"	"127"	"18"	"7"	"11"	"11"	"9"	"15"	"11"	"6"	"11"	"13"	"11"	"4"	"13"	"15"	"8"	"9"	""
"2009-w41"	"134"	"12"	"15"	"6"	"12"	"16"	"13"	"7"	"10"	"9"	"12"	"11"	"13"	"10"	"11"	"14"	"21"	""
"2009-w42"	"164"	"20"	"4"	"7"	"11"	"18"	"13"	"9"	"6"	"19"	"11"	"13"	"10"	"12"	"16"	"11"	"21"	""
"2009-w43"	"211"	"27"	"13"	"11"	"16"	"10"	"20"	"13"	"12"	"18"	"13"	"19"	"12"	"17"	"22"	"16"	"29"	""
"2009-w44"	"239"	"20"	"7"	"13"	"16"	"14"	"17"	"18"	"15"	"11"	"20"	"23"	"19"	"28"	"35"	"46"	"36"	""
"2009-w45"	"249"	"25"	"20"	"16"	"16"	"24"	"17"	"23"	"18"	"26"	"20"	"28"	"19"	"40"	"51"	"40"	"59"	""
"2009-w46"	"331"	"42"	"11"	"25"	"24"	"27"	"25"	"15"	"18"	"36"	"32"	"30"	"19"	"38"	"43"	"52"	"88"	""
"2009-w47"	"318"	"34"	"22"	"12"	"24"	"23"	"20"	"23"	"27"	"41"	"36"	"48"	"34"	"43"	"66"	"50"	"95"	""
"2009-w48"	"326"	"29"	"17"	"18"	"34"	"31"	"20"	"28"	"24"	"29"	"33"	"35"	"32"	"47"	"48"	"51"	"80"	""
"2009-w49"	"336"	"31"	"26"	"22"	"17"	"18"	"25"	"27"	"28"	"30"	"32"	"30"	"27"	"42"	"60"	"45"	"95"	""
"2009-w50"	"335"	"30"	"20"	"25"	"32"	"28"	"25"	"44"	"39"	"37"	"32"	"45"	"40"	"55"	"91"	"97"	"149"	""
"2009-w51"	"405"	"43"	"24"	"24"	"28"	"53"	"40"	"32"	"49"	"47"	"57"	"74"	"59"	"96"	"101"	"97"	"176"	""
"2009-w52"	"291"	"28"	"17"	"19"	"16"	"19"	"26"	"18"	"40"	"53"	"42"	"50"	"50"	"95"	"110"	"117"	"178"	"1"
"2009-w53"	"213"	"18"	"11"	"17"	"29"	"26"	"24"	"24"	"28"	"37"	"46"	"69"	"62"	"95"	"150"	"125"	"251"	"1"
"2010-w01"	"321"	"21"	"24"	"28"	"54"	"51"	"52"	"46"	"62"	"69"	"89"	"104"	"122"	"185"	"263"	"267"	"452"	""
"2010-w02"	"452"	"49"	"40"	"56"	"77"	"72"	"61"	"62"	"88"	"134"	"140"	"181"	"168"	"235"	"383"	"361"	"623"	""
"2010-w03"	"565"	"61"	"48"	"55"	"67"	"78"	"58"	"53"	"122"	"146"	"145"	"172"	"161"	"244"	"380"	"391"	"615"	""
"2010-w04"	"647"	"82"	"55"	"49"	"86"	"78"	"86"	"80"	"115"	"154"	"155"	"186"	"175"	"276"	"384"	"404"	"628"	""
"2010-w05"	"581"	"64"	"39"	"65"	"85"	"81"	"93"	"91"	"114"	"172"	"190"	"219"	"188"	"306"	"441"	"442"	"748"	"2"
"2010-w06"	"645"	"100"	"40"	"62"	"104"	"90"	"106"	"111"	"128"	"159"	"183"	"223"	"198"	"275"	"408"	"391"	"621"	"1"
"2010-w07"	"587"	"76"	"41"	"58"	"80"	"94"	"74"	"75"	"116"	"143"	"153"	"191"	"188"	"266"	"394"	"364"	"628"	""
"2010-w08"	"585"	"89"	"42"	"60"	"85"	"76"	"92"	"97"	"112"	"161"	"186"	"187"	"188"	"275"	"395"	"377"	"682"	""
"2010-w09"	"576"	"90"	"50"	"52"	"91"	"87"	"68"	"87"	"98"	"140"	"151"	"176"	"174"	"239"	"349"	"334"	"565"	""
"2010-w10"	"507"	"79"	"40"	"60"	"76"	"70"	"60"	"79"	"96"	"127"	"127"	"130"	"145"	"190"	"310"	"324"	"494"	"2"
